name,prefix_1,prefix_2
Boston Celtics,bos,boston-celtics
Brooklyn Nets,brk,brooklyn-nets
New York Knicks,nyk,new-york-knicks
Philadelphia 76ers,phi,philadelphia-76ers
Toronto Raptors,tor,toronto-raptors
Golden State Warriors,gsw,golden-state-warriors
Los Angeles Clippers,lac,los-angeles-clippers
Los Angeles Lakers,lal,los-angeles-lakers
Phoenix Suns,pho,phoenix-suns
Sacramento Kings,sac,sacramento-kings
Chicago Bulls,chi,chicago-bulls
Cleveland Cavaliers,cle,cleveland-cavaliers
Detroit Pistons,det,detroit-pistons
Indiana Pacers,ind,indiana-pacers
Milwaukee Bucks,mil,milwaukee-bucks
Dallas Mavericks,dal,dallas-mavericks
Houston Rockets,hou,houston-rockets
Memphis Grizzlies,mem,memphis-grizzlies
New Orleans Pelicans,nop,new-orleans-hornets
San Antonio Spurs,sas,san-antonio-spurs
Atlanta Hawks,atl,atlanta-hawks
Charlotte Hornets,cho,charlotte-bobcats
Miami Heat,mia,miami-heat
Orlando Magic,orl,orlando-magic
Washington Wizards,wsh,washington-wizards
Denver Nuggets,den,denver-nuggets
Minnesota Timberwolves,min,minnesota-timberwolves
Oklahoma City Thunder,okc,oklahoma-city-thunder
Portland Trail Blazers,por,portland-trail-blazers
Utah Jazz,uta,utah-jazz